student_code,full_name,email,faculty,cohort,is_active
21120001,"Sinh viên 1",not-an-email,CNTT,2020,false
21120002,"Sinh viên 2",sv2@student.edu.vn,KTPM,2021,true
21120003,"Sinh viên 3",sv3@student.edu.vn,KHMT,2022,true
21120004,"Sinh viên 4",sv4@student.edu.vn,CNTT,2023,true
21120005,"Sinh viên 5",sv5@student.edu.vn,KTPM,2024,true
21120006,"Sinh viên 6",sv6@student.edu.vn,KHMT,2020,true
21120007,"Sinh viên 7",sv7@student.edu.vn,CNTT,2021,true
21120008,"Sinh viên 8",sv8@student.edu.vn,KTPM,2022,false
21120009,"Sinh viên 9",sv9@student.edu.vn,KHMT,2023,true
21120010,"Sinh viên 10",sv10@student.edu.vn,CNTT,2024,true
21120011,"Sinh viên 11",sv11@student.edu.vn,KTPM,2020,true
21120012,"Sinh viên 12",sv12@student.edu.vn,KHMT,2021,true
21120013,"Sinh viên 13",sv13@student.edu.vn,CNTT,2022,true
21120014,"Sinh viên 14",sv14@student.edu.vn,KTPM,2023,true
21120015,"Sinh viên 15",sv15@student.edu.vn,KHMT,2024,false
21120016,"Sinh viên 16",sv16@student.edu.vn,CNTT,2020,true
21120017,"Sinh viên 17",sv17@student.edu.vn,KTPM,2021,true
21120018,"Sinh viên 18",sv18@student.edu.vn,KHMT,2022,true
21120019,"Sinh viên 19",sv19@student.edu.vn,CNTT,2023,true
21120020,"Sinh viên 20",sv20@student.edu.vn,KTPM,2024,true
21120021,"Sinh viên 21",not-an-email,KHMT,2020,true
21120022,"Sinh viên 22",sv22@student.edu.vn,CNTT,2021,false
21120023,"Sinh viên 23",sv23@student.edu.vn,KTPM,2022,true
21120024,"Sinh viên 24",sv24@student.edu.vn,KHMT,2023,true
21120025,"Sinh viên 25",sv25@student.edu.vn,CNTT,2024,true
21120026,"Sinh viên 26",sv26@student.edu.vn,KTPM,2020,true
21120027,"Sinh viên 27",sv27@student.edu.vn,KHMT,2021,true
21120028,"Sinh viên 28",sv28@student.edu.vn,CNTT,2022,true
21120029,"Sinh viên 29",sv29@student.edu.vn,KTPM,2023,false
21120030,"Sinh viên 30",sv30@student.edu.vn,KHMT,2024,true
21120031,"Sinh viên 31",sv31@student.edu.vn,CNTT,2020,true
21120032,"Sinh viên 32",sv32@student.edu.vn,KTPM,2021,true
21120033,"Sinh viên 33",sv33@student.edu.vn,KHMT,2022,true
21120034,"Sinh viên 34",sv34@student.edu.vn,CNTT,2023,true
21120035,"Sinh viên 35",sv35@student.edu.vn,KTPM,2024,true
21120036,"Sinh viên 36",sv36@student.edu.vn,KHMT,2020,false
21120037,"Sinh viên 37",sv37@student.edu.vn,CNTT,2021,true
21120038,"Sinh viên 38",sv38@student.edu.vn,KTPM,2022,true
21120039,"Sinh viên 39",sv39@student.edu.vn,KHMT,2023,true
21120040,"Sinh viên 40",sv40@student.edu.vn,CNTT,2024,true
21120041,"Sinh viên 41",not-an-email,KTPM,2020,true
21120042,"Sinh viên 42",sv42@student.edu.vn,KHMT,2021,true
21120043,"Sinh viên 43",sv43@student.edu.vn,CNTT,2022,false
21120044,"Sinh viên 44",sv44@student.edu.vn,KTPM,2023,true
21120045,"Sinh viên 45",sv45@student.edu.vn,KHMT,2024,true
21120046,"Sinh viên 46",sv46@student.edu.vn,CNTT,2020,true
21120047,"Sinh viên 47",sv47@student.edu.vn,KTPM,2021,true
21120048,"Sinh viên 48",sv48@student.edu.vn,KHMT,2022,true
21120049,"Sinh viên 49",sv49@student.edu.vn,CNTT,2023,true
21120050,"Sinh viên 50",sv50@student.edu.vn,KTPM,2024,false
21120051,"Sinh viên 51",sv51@student.edu.vn,KHMT,2020,true
21120052,"Sinh viên 52",sv52@student.edu.vn,CNTT,2021,true
21120053,"Sinh viên 53",sv53@student.edu.vn,KTPM,2022,true
21120054,"Sinh viên 54",sv54@student.edu.vn,KHMT,2023,true
21120055,"Sinh viên 55",sv55@student.edu.vn,CNTT,2024,true
21120056,"Sinh viên 56",sv56@student.edu.vn,KTPM,2020,true
21120057,"Sinh viên 57",sv57@student.edu.vn,KHMT,2021,false
21120058,"Sinh viên 58",sv58@student.edu.vn,CNTT,2022,true
21120059,"Sinh viên 59",sv59@student.edu.vn,KTPM,2023,true
21120060,"Sinh viên 60",sv60@student.edu.vn,KHMT,2024,true
21120061,"Sinh viên 61",not-an-email,CNTT,2020,true
21120062,"Sinh viên 62",sv62@student.edu.vn,KTPM,2021,true
21120063,"Sinh viên 63",sv63@student.edu.vn,KHMT,2022,true
21120064,"Sinh viên 64",sv64@student.edu.vn,CNTT,2023,false
21120065,"Sinh viên 65",sv65@student.edu.vn,KTPM,2024,true
21120066,"Sinh viên 66",sv66@student.edu.vn,KHMT,2020,true
21120067,"Sinh viên 67",sv67@student.edu.vn,CNTT,2021,true
21120068,"Sinh viên 68",sv68@student.edu.vn,KTPM,2022,true
21120069,"Sinh viên 69",sv69@student.edu.vn,KHMT,2023,true
21120070,"Sinh viên 70",sv70@student.edu.vn,CNTT,2024,true
21120071,"Sinh viên 71",sv71@student.edu.vn,KTPM,2020,false
21120072,"Sinh viên 72",sv72@student.edu.vn,KHMT,2021,true
21120073,"Sinh viên 73",sv73@student.edu.vn,CNTT,2022,true
21120074,"Sinh viên 74",sv74@student.edu.vn,KTPM,2023,true
21120075,"Sinh viên 75",sv75@student.edu.vn,KHMT,2024,true
