student_code,full_name,email,faculty,cohort,is_active
73236489,"Sinh viên 236488-1",sv236488-1@student.edu.vn,CNTT,2020,false
73236490,"Sinh viên 236488-2",sv236488-2@student.edu.vn,KTPM,2021,true
73236491,"Sinh viên 236488-3",sv236488-3@student.edu.vn,KHMT,2022,true
73236492,"Sinh viên 236488-4",sv236488-4@student.edu.vn,CNTT,2023,true
73236493,"Sinh viên 236488-5",sv236488-5@student.edu.vn,KTPM,2024,true
73236494,"Sinh viên 236488-6",sv236488-6@student.edu.vn,KHMT,2020,true
73236495,"Sinh viên 236488-7",sv236488-7@student.edu.vn,CNTT,2021,true
73236496,"Sinh viên 236488-8",sv236488-8@student.edu.vn,KTPM,2022,false
73236497,"Sinh viên 236488-9",sv236488-9@student.edu.vn,KHMT,2023,true
73236498,"Sinh viên 236488-10",sv236488-10@student.edu.vn,CNTT,2024,true
73236499,"Sinh viên 236488-11",sv236488-11@student.edu.vn,KTPM,2020,true
73236500,"Sinh viên 236488-12",sv236488-12@student.edu.vn,KHMT,2021,true
73236501,"Sinh viên 236488-13",sv236488-13@student.edu.vn,CNTT,2022,true
73236502,"Sinh viên 236488-14",sv236488-14@student.edu.vn,KTPM,2023,true
73236503,"Sinh viên 236488-15",sv236488-15@student.edu.vn,KHMT,2024,false
73236504,"Sinh viên 236488-16",sv236488-16@student.edu.vn,CNTT,2020,true
73236505,"Sinh viên 236488-17",sv236488-17@student.edu.vn,KTPM,2021,true
73236506,"Sinh viên 236488-18",sv236488-18@student.edu.vn,KHMT,2022,true
73236507,"Sinh viên 236488-19",sv236488-19@student.edu.vn,CNTT,2023,true
73236508,"Sinh viên 236488-20",sv236488-20@student.edu.vn,KTPM,2024,true
73236509,"Sinh viên 236488-21",sv236488-21@student.edu.vn,KHMT,2020,true
73236510,"Sinh viên 236488-22",sv236488-22@student.edu.vn,CNTT,2021,false
73236511,"Sinh viên 236488-23",sv236488-23@student.edu.vn,KTPM,2022,true
73236512,"Sinh viên 236488-24",sv236488-24@student.edu.vn,KHMT,2023,true
73236513,"Sinh viên 236488-25",sv236488-25@student.edu.vn,CNTT,2024,true
73236514,"Sinh viên 236488-26",sv236488-26@student.edu.vn,KTPM,2020,true
73236515,"Sinh viên 236488-27",sv236488-27@student.edu.vn,KHMT,2021,true
73236516,"Sinh viên 236488-28",sv236488-28@student.edu.vn,CNTT,2022,true
73236517,"Sinh viên 236488-29",sv236488-29@student.edu.vn,KTPM,2023,false
73236518,"Sinh viên 236488-30",sv236488-30@student.edu.vn,KHMT,2024,true
73236519,"Sinh viên 236488-31",sv236488-31@student.edu.vn,CNTT,2020,true
73236520,"Sinh viên 236488-32",sv236488-32@student.edu.vn,KTPM,2021,true
73236521,"Sinh viên 236488-33",sv236488-33@student.edu.vn,KHMT,2022,true
73236522,"Sinh viên 236488-34",sv236488-34@student.edu.vn,CNTT,2023,true
73236523,"Sinh viên 236488-35",sv236488-35@student.edu.vn,KTPM,2024,true
73236524,"Sinh viên 236488-36",sv236488-36@student.edu.vn,KHMT,2020,false
73236525,"Sinh viên 236488-37",sv236488-37@student.edu.vn,CNTT,2021,true
73236526,"Sinh viên 236488-38",sv236488-38@student.edu.vn,KTPM,2022,true
73236527,"Sinh viên 236488-39",sv236488-39@student.edu.vn,KHMT,2023,true
73236528,"Sinh viên 236488-40",sv236488-40@student.edu.vn,CNTT,2024,true
73236529,"Sinh viên 236488-41",sv236488-41@student.edu.vn,KTPM,2020,true
73236530,"Sinh viên 236488-42",sv236488-42@student.edu.vn,KHMT,2021,true
73236531,"Sinh viên 236488-43",sv236488-43@student.edu.vn,CNTT,2022,false
