student_code,full_name,WRONG,faculty,cohort,is_active
73473417,"Sinh viên 473416-1",sv473416-1@student.edu.vn,CNTT,2020,false
73473418,"Sinh viên 473416-2",sv473416-2@student.edu.vn,KTPM,2021,true
73473419,"Sinh viên 473416-3",sv473416-3@student.edu.vn,KHMT,2022,true
73473420,"Sinh viên 473416-4",sv473416-4@student.edu.vn,CNTT,2023,true
73473421,"Sinh viên 473416-5",sv473416-5@student.edu.vn,KTPM,2024,true
73473422,"Sinh viên 473416-6",sv473416-6@student.edu.vn,KHMT,2020,true
73473423,"Sinh viên 473416-7",sv473416-7@student.edu.vn,CNTT,2021,true
73473424,"Sinh viên 473416-8",sv473416-8@student.edu.vn,KTPM,2022,false
73473425,"Sinh viên 473416-9",sv473416-9@student.edu.vn,KHMT,2023,true
73473426,"Sinh viên 473416-10",sv473416-10@student.edu.vn,CNTT,2024,true
73473427,"Sinh viên 473416-11",sv473416-11@student.edu.vn,KTPM,2020,true
73473428,"Sinh viên 473416-12",sv473416-12@student.edu.vn,KHMT,2021,true
73473429,"Sinh viên 473416-13",sv473416-13@student.edu.vn,CNTT,2022,true
73473430,"Sinh viên 473416-14",sv473416-14@student.edu.vn,KTPM,2023,true
73473431,"Sinh viên 473416-15",sv473416-15@student.edu.vn,KHMT,2024,false
73473432,"Sinh viên 473416-16",sv473416-16@student.edu.vn,CNTT,2020,true
73473433,"Sinh viên 473416-17",sv473416-17@student.edu.vn,KTPM,2021,true
73473434,"Sinh viên 473416-18",sv473416-18@student.edu.vn,KHMT,2022,true
73473435,"Sinh viên 473416-19",sv473416-19@student.edu.vn,CNTT,2023,true
73473436,"Sinh viên 473416-20",sv473416-20@student.edu.vn,KTPM,2024,true
73473437,"Sinh viên 473416-21",sv473416-21@student.edu.vn,KHMT,2020,true
73473438,"Sinh viên 473416-22",sv473416-22@student.edu.vn,CNTT,2021,false
73473439,"Sinh viên 473416-23",sv473416-23@student.edu.vn,KTPM,2022,true
73473440,"Sinh viên 473416-24",sv473416-24@student.edu.vn,KHMT,2023,true
73473441,"Sinh viên 473416-25",sv473416-25@student.edu.vn,CNTT,2024,true
73473442,"Sinh viên 473416-26",sv473416-26@student.edu.vn,KTPM,2020,true
73473443,"Sinh viên 473416-27",sv473416-27@student.edu.vn,KHMT,2021,true
73473444,"Sinh viên 473416-28",sv473416-28@student.edu.vn,CNTT,2022,true
73473445,"Sinh viên 473416-29",sv473416-29@student.edu.vn,KTPM,2023,false
73473446,"Sinh viên 473416-30",sv473416-30@student.edu.vn,KHMT,2024,true
73473447,"Sinh viên 473416-31",sv473416-31@student.edu.vn,CNTT,2020,true
73473448,"Sinh viên 473416-32",sv473416-32@student.edu.vn,KTPM,2021,true
73473449,"Sinh viên 473416-33",sv473416-33@student.edu.vn,KHMT,2022,true
73473450,"Sinh viên 473416-34",sv473416-34@student.edu.vn,CNTT,2023,true
73473451,"Sinh viên 473416-35",sv473416-35@student.edu.vn,KTPM,2024,true
73473452,"Sinh viên 473416-36",sv473416-36@student.edu.vn,KHMT,2020,false
73473453,"Sinh viên 473416-37",sv473416-37@student.edu.vn,CNTT,2021,true
73473454,"Sinh viên 473416-38",sv473416-38@student.edu.vn,KTPM,2022,true
73473455,"Sinh viên 473416-39",sv473416-39@student.edu.vn,KHMT,2023,true
73473456,"Sinh viên 473416-40",sv473416-40@student.edu.vn,CNTT,2024,true
73473457,"Sinh viên 473416-41",sv473416-41@student.edu.vn,KTPM,2020,true
73473458,"Sinh viên 473416-42",sv473416-42@student.edu.vn,KHMT,2021,true
73473459,"Sinh viên 473416-43",sv473416-43@student.edu.vn,CNTT,2022,false
73473460,"Sinh viên 473416-44",sv473416-44@student.edu.vn,KTPM,2023,true
73473461,"Sinh viên 473416-45",sv473416-45@student.edu.vn,KHMT,2024,true
73473462,"Sinh viên 473416-46",sv473416-46@student.edu.vn,CNTT,2020,true
73473463,"Sinh viên 473416-47",sv473416-47@student.edu.vn,KTPM,2021,true
73473464,"Sinh viên 473416-48",sv473416-48@student.edu.vn,KHMT,2022,true
73473465,"Sinh viên 473416-49",sv473416-49@student.edu.vn,CNTT,2023,true
73473466,"Sinh viên 473416-50",sv473416-50@student.edu.vn,KTPM,2024,false
